u,v,length,from,to,geometry
610963357,1644108529,67.38166266,1644108529,610963357,"LINESTRING (100.349725 -0.9093086, 100.3497139 -0.909578, 100.3497145 -0.9096873, 100.3497418 -0.9099127)"
610963357,6080422899,67.84651001,6080422899,610963357,"LINESTRING (100.3503519 -0.9099096, 100.3502248 -0.9099082, 100.3500223 -0.9099051, 100.3497418 -0.9099127)"
610975947,1621973438,28.64796701,1621973438,610975947,"LINESTRING (100.3555774 -0.9575895, 100.3554385 -0.9578065)"
610975947,6080424191,79.2222429,6080424191,610975947,"LINESTRING (100.3551084 -0.9584323, 100.3553642 -0.9580302, 100.3553835 -0.9579846, 100.3554385 -0.9578065)"
610975947,6080424197,32.44299155,6080424197,610975947,"LINESTRING (100.3554602 -0.9575158, 100.3554616 -0.95755, 100.3554385 -0.9578065)"
610975951,1359203627,215.0159899,1359203627,610975951,"LINESTRING (100.3636587 -0.9532118, 100.3636381 -0.9527726, 100.3636479 -0.9525963, 100.363664 -0.9524246, 100.3636767 -0.95234, 100.3637219 -0.9520128, 100.363729 -0.9519616, 100.3637566 -0.951741, 100.3637888 -0.9514672, 100.3637918 -0.9512878)"
610975951,1541152552,171.3221231,1541152552,610975951,"LINESTRING (100.3653096 -0.951022, 100.3648938 -0.9510918, 100.36469 -0.9511253, 100.3642729 -0.951199, 100.3637918 -0.9512878)"
610975951,1543332270,89.34356082,1543332270,610975951,"LINESTRING (100.3636371 -0.9504994, 100.3636836 -0.9507148, 100.3637206 -0.950913, 100.3637918 -0.9512878)"
610975951,1752258244,273.653422,1752258244,610975951,"LINESTRING (100.3613386 -0.9514134, 100.361758 -0.9514156, 100.3623495 -0.9513883, 100.3625428 -0.9513784, 100.3629195 -0.9513788, 100.3635822 -0.9513385, 100.3637918 -0.9512878)"
610975954,1581569726,79.58854125,1581569726,610975954,"LINESTRING (100.3543953 -0.9339578, 100.3544714 -0.9346695)"
610975954,1581569757,90.76103642,1581569757,610975954,"LINESTRING (100.3545214 -0.9354842, 100.3544714 -0.9346695)"
610975954,1581569737,77.33824608,1581569737,610975954,"LINESTRING (100.3537761 -0.9346903, 100.3544714 -0.9346695)"
610975954,1581569734,98.68524912,1581569734,610975954,"LINESTRING (100.3553547 -0.9345821, 100.3552373 -0.9345937, 100.3544714 -0.9346695)"
610975955,6083332510,80.82586605,6083332510,610975955,"LINESTRING (100.3544695 -0.9423731, 100.3545218 -0.9430981)"
