osmid,y,x,geometry,status,ETA
6079863773,-0.8877173,100.3924133,POINT (100.3924133 -0.8877173),intersection,61.16468846
6079863777,-0.887838,100.3924507,POINT (100.3924507 -0.887838),intersection,61.16480374
6079863782,-0.8873402,100.3924497,POINT (100.3924497 -0.8873402),intersection,61.17098853
6079863783,-0.8877176,100.3924556,POINT (100.3924556 -0.8877176),intersection,61.16652229
6079863784,-0.888091,100.3919551,POINT (100.3919551 -0.888091),intersection,61.14011023
6079864386,-0.8887464,100.3909064,POINT (100.3909064 -0.8887464),intersection,61.08635996
6079864387,-0.8890273,100.3902533,POINT (100.3902533 -0.8890273),intersection,61.05447665
6079864388,-0.8880999,100.3902513,POINT (100.3902513 -0.8880999),intersection,61.06598313
6079864389,-0.8878548,100.3887434,POINT (100.3887434 -0.8878548),intersection,61.00355542
6079864393,-0.8872961,100.3887321,POINT (100.3887321 -0.8872961),intersection,61.01007352
6079864401,-0.8875987,100.3906182,POINT (100.3906182 -0.8875987),intersection,61.08819614
6079864402,-0.8877345,100.3906214,POINT (100.3906214 -0.8877345),intersection,61.08663419
6079937525,-0.8912123,100.3900137,POINT (100.3900137 -0.8912123),intersection,61.0469244
6079937526,-0.8908317,100.3895581,POINT (100.3895581 -0.8908317),intersection,61.03184518
6079937527,-0.8913184,100.3897552,POINT (100.3897552 -0.8913184),intersection,61.03436428
6079937529,-0.89147,100.3898337,POINT (100.3898337 -0.89147),intersection,61.03589475
6079937531,-0.8909711,100.3892537,POINT (100.3892537 -0.8909711),intersection,61.01687433
6079937532,-0.8910154,100.3889693,POINT (100.3889693 -0.8910154),intersection,61.00395641
6079937533,-0.8907657,100.3886696,POINT (100.3886696 -0.8907657),intersection,60.99403307
6079937537,-0.8912914,100.3882472,POINT (100.3882472 -0.8912914),intersection,60.96912293
6079937539,-0.8918065,100.3895862,POINT (100.3895862 -0.8918065),intersection,61.02095254
6079937540,-0.8921476,100.3887415,POINT (100.3887415 -0.8921476),intersection,60.97998106
6079937541,-0.8915061,100.3894669,POINT (100.3894669 -0.8915061),intersection,61.01949442
6079937542,-0.8918403,100.3885599,POINT (100.3885599 -0.8918403),intersection,60.97589818
6079948357,-0.9161472,100.352439,POINT (100.352439 -0.9161472),intersection,58.21015608
6079948358,-0.914756,100.3541467,POINT (100.3541467 -0.914756),intersection,58.29992446
6079949936,-0.9152748,100.3523858,POINT (100.3523858 -0.9152748),intersection,58.21816918
6079950239,-0.915397,100.3519714,POINT (100.3519714 -0.915397),intersection,58.19892809
6079951874,-0.9165146,100.3512803,POINT (100.3512803 -0.9165146),intersection,58.15605374
6079952652,-0.915159,100.3527787,POINT (100.3527787 -0.915159),intersection,58.23641129
6079952884,-0.9056906,100.3476978,POINT (100.3476978 -0.9056906),intersection,58.11203169
6079953094,-0.9065367,100.3474548,POINT (100.3474548 -0.9065367),intersection,58.09134475
6079960597,-0.9325703,100.3538487,POINT (100.3538487 -0.9325703),intersection,57.1670964
6079960598,-0.9326661,100.3537499,POINT (100.3537499 -0.9326661),intersection,57.16184427
6079960603,-0.9320996,100.353023,POINT (100.353023 -0.9320996),intersection,57.13578148
6079960611,-0.932176,100.3534066,POINT (100.3534066 -0.932176),intersection,57.15271542
6079968064,-0.9160172,100.3546344,POINT (100.3546344 -0.9160172),intersection,58.30249653
6079968065,-0.9150434,100.3531712,POINT (100.3531712 -0.9150434),intersection,58.25463387
6079968066,-0.9160329,100.3541952,POINT (100.3541952 -0.9160329),intersection,58.28344583
6079968069,-0.9161124,100.3532651,POINT (100.3532651 -0.9161124),intersection,58.24605117
6079968241,-0.9145704,100.354967,POINT (100.354967 -0.9145704),intersection,58.33734667
6079968620,-0.9156942,100.3532331,POINT (100.3532331 -0.9156942),intersection,58.2496076
6079968801,-0.9156624,100.354179,POINT (100.354179 -0.9156624),intersection,58.29061174
6079968913,-0.9149458,100.3545693,POINT (100.3545693 -0.9149458),intersection,58.31583154
6079969123,-0.9152837,100.3541583,POINT (100.3541583 -0.9152837),intersection,58.29418998
6079985679,-0.8928461,100.3874971,POINT (100.3874971 -0.8928461),intersection,60.91719231
6079985683,-0.8943567,100.390064,POINT (100.390064 -0.8943567),intersection,61.01019032
6079992140,-0.9296028,100.3503731,POINT (100.3503731 -0.9296028),intersection,57.015527
6079992157,-0.9293621,100.3510243,POINT (100.3510243 -0.9293621),intersection,57.04580516
6079992159,-0.9288988,100.3508738,POINT (100.3508738 -0.9288988),intersection,57.04462092
6080018293,-0.9076631,100.3472114,POINT (100.3472114 -0.9076631),intersection,58.06726668
6080018294,-0.9079876,100.3472107,POINT (100.3472107 -0.9079876),intersection,58.06331166
6080018305,-0.907404,100.3474304,POINT (100.3474304 -0.907404),intersection,58.07978712
6080018312,-0.9079843,100.3473992,POINT (100.3473992 -0.9079843),intersection,58.07142968
6080020529,-0.8951991,100.388445,POINT (100.388445 -0.8951991),intersection,60.92935456
6080020530,-0.8949927,100.3884222,POINT (100.3884222 -0.8949927),intersection,60.93090533
6080040233,-0.9149377,100.3608933,POINT (100.3608933 -0.9149377),intersection,58.58406712
6080041389,-0.936827,100.3541502,POINT (100.3541502 -0.936827),intersection,57.14853698
6080041391,-0.936406,100.3541475,POINT (100.3541475 -0.936406),intersection,57.1473927
6080044300,-0.9146829,100.3610261,POINT (100.3610261 -0.9146829),intersection,58.59276816
6080044301,-0.9155304,100.3611535,POINT (100.3611535 -0.9155304),intersection,58.58434353
6080044794,-0.9156994,100.3605527,POINT (100.3605527 -0.9156994),intersection,58.55654808
6080044797,-0.913279,100.3616121,POINT (100.3616121 -0.913279),intersection,58.63447846
6080045263,-0.9165919,100.3619187,POINT (100.3619187 -0.9165919),intersection,58.60120462
6080045332,-0.9164087,100.3626958,POINT (100.3626958 -0.9164087),intersection,58.63674015
6080070407,-0.9096356,100.3485069,POINT (100.3485069 -0.9096356),intersection,57.20369465
6080070409,-0.9095786,100.3490339,POINT (100.3490339 -0.9095786),intersection,57.21370214
6080070411,-0.9100151,100.3486014,POINT (100.3486014 -0.9100151),intersection,57.19028445
6080070413,-0.9101083,100.3481183,POINT (100.3481183 -0.9101083),intersection,57.16879265
6080070420,-0.9089729,100.3475584,POINT (100.3475584 -0.9089729),intersection,57.18440205
6080090879,-0.8965638,100.3845597,POINT (100.3845597 -0.8965638),intersection,60.75522038
6080090880,-0.8967127,100.3845623,POINT (100.3845623 -0.8967127),intersection,60.75350074
6080090883,-0.8951427,100.3870848,POINT (100.3870848 -0.8951427),intersection,60.87085768
6080090884,-0.8953889,100.3870844,POINT (100.3870844 -0.8953889),intersection,60.86780531
6080094291,-0.8973144,100.3854183,POINT (100.3854183 -0.8973144),intersection,60.78336952
6080094294,-0.8973479,100.3850124,POINT (100.3850124 -0.8973479),intersection,60.76528593
6080094295,-0.8965659,100.384435,POINT (100.384435 -0.8965659),intersection,60.74976637
6080094297,-0.89689,100.384419,POINT (100.384419 -0.89689),intersection,60.74508104
6080094298,-0.8961404,100.3845839,POINT (100.3845839 -0.8961404),intersection,60.74972924
6080094300,-0.8957355,100.3846067,POINT (100.3846067 -0.8957355),intersection,60.75571309
6080094301,-0.8956403,100.3865071,POINT (100.3865071 -0.8956403),intersection,60.83958478
6080099416,-0.9283725,100.3549127,POINT (100.3549127 -0.9283725),intersection,57.19392551
6080211909,-0.9105421,100.3638477,POINT (100.3638477 -0.9105421),intersection,58.76638602
6080212633,-0.9354007,100.3558197,POINT (100.3558197 -0.9354007),intersection,57.22484129
6080214318,-0.9106548,100.3631879,POINT (100.3631879 -0.9106548),intersection,58.73672169
6080214323,-0.9107142,100.3647034,POINT (100.3647034 -0.9107142),intersection,58.8010835
6080214344,-0.9138408,100.3482111,POINT (100.3482111 -0.9138408),intersection,57.09846151
6080217975,-0.9121818,100.3630333,POINT (100.3630333 -0.9121818),intersection,58.71199321
6080217976,-0.9113059,100.3627401,POINT (100.3627401 -0.9113059),intersection,58.70977246
6080218319,-0.9121932,100.3629924,POINT (100.3629924 -0.9121932),intersection,58.71010198
6080218320,-0.9113093,100.3626704,POINT (100.3626704 -0.9113093),intersection,58.70673949
6080218323,-0.8950369,100.3880213,POINT (100.3880213 -0.8950369),intersection,60.91291465
6080218325,-0.911503,100.3647438,POINT (100.3647438 -0.911503),intersection,58.79347675
6080218508,-0.9128451,100.3631491,POINT (100.3631491 -0.9128451),intersection,58.70561028
