scenario,path_dijkstra,ete_dijkstra,ete_safe_dijkstra,rst_dijkstra,ete_dijkstra_rst,ete_safe_dijkstra_rst,rst_dijkstra_rst,path_dijkstra,path_dijkstra_rst
RsT2 - 47 - 66 - 1.35 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]",46.72,16.42,19.08,46.72,16.42,21.1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 47 - 66 - 1.4 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]",45.06,15.84,19.08,45.06,15.84,21.1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 47 - 66 - 1.51 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]",41.77,14.69,19.08,41.77,14.69,21.1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 47 - 67 - 1.35 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",33.13,31.28,19.08,37.93,16.42,21.1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""8"", ""44"", ""45"", ""46"", ""40"", ""67""]"
RsT2 - 47 - 67 - 1.4 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",31.94,30.16,19.08,35.39,20.69,21.16,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""51"", ""34"", ""8"", ""44"", ""45"", ""46"", ""40"", ""67""]"
RsT2 - 47 - 67 - 1.51 - R1,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",29.62,27.97,19.08,32.83,19.18,21.16,"[""5"", ""63"", ""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""5"", ""63"", ""4"", ""2"", ""6"", ""57"", ""51"", ""34"", ""8"", ""44"", ""45"", ""46"", ""40"", ""67""]"
RsT2 - 47 - 68 - 1.35 - R1,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]",21.15,16.75,19.08,21.15,16.75,24.86,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]"
RsT2 - 47 - 68 - 1.4 - R1,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]",20.39,16.15,19.08,20.39,16.15,24.86,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]"
RsT2 - 47 - 68 - 1.51 - R1,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]",18.91,14.98,19.08,18.91,14.98,24.86,"[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]","[""5"", ""3"", ""1"", ""56"", ""52"", ""53"", ""68""]"
RsT2 - 48 - 66 - 1.35 - R1,"[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]",38.94,8.64,19.08,38.94,8.64,21.1,"[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]"
