scenario,path_dijkstra,ete_dijkstra,ete_safe_dijkstra,rst_dijkstra,ete_dijkstra_rst,ete_safe_dijkstra_rst,rst_dijkstra_rst,path_dijkstra,path_dijkstra_rst
RsT2 - 48 - 66 - 1.4 - R1,"[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]",37.56,8.34,19.08,37.56,8.34,21.1,"[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 48 - 66 - 1.51 - R1,"[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]",34.81,7.73,19.08,34.81,7.73,21.1,"[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]","[""4"", ""2"", ""6"", ""57"", ""7"", ""49"", ""30"", ""11"", ""66""]"
RsT2 - 48 - 67 - 1.35 - R1,"[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",25.35,23.5,19.08,25.35,23.5,24.6,"[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 48 - 67 - 1.4 - R1,"[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",24.44,22.66,19.08,24.44,22.66,24.6,"[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 48 - 67 - 1.51 - R1,"[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",22.66,21.01,19.08,22.66,21.01,24.6,"[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""4"", ""2"", ""6"", ""50"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 48 - 68 - 1.35 - R1,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]",15.76,11.36,19.08,15.76,11.36,24.86,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]","[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]"
RsT2 - 48 - 68 - 1.4 - R1,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]",15.19,10.95,19.08,15.19,10.95,24.86,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]","[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]"
RsT2 - 48 - 68 - 1.51 - R1,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]",14.09,10.16,19.08,14.09,10.16,24.86,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]","[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]"
RsT2 - 49 - 66 - 1.35 - R1,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]",27.06,21.56,19.08,27.06,21.56,24.52,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]","[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]"
RsT2 - 49 - 66 - 1.4 - R1,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]",26.07,20.78,19.08,26.07,20.78,24.52,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]","[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]"
RsT2 - 49 - 66 - 1.51 - R1,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]",24.18,19.27,19.08,24.18,19.27,24.52,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]","[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]"
RsT2 - 49 - 67 - 1.35 - R1,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",11.88,10.03,19.08,11.88,10.03,24.6,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 49 - 67 - 1.4 - R1,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",11.44,9.66,19.08,11.44,9.66,24.6,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 49 - 67 - 1.51 - R1,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",10.61,8.96,19.08,10.61,8.96,24.6,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 49 - 68 - 1.35 - R1,"[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]",20.04,11.15,19.08,20.04,11.15,21.1,"[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]","[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]"
RsT2 - 49 - 68 - 1.4 - R1,"[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]",19.31,10.74,19.08,19.31,10.74,21.1,"[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]","[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]"
RsT2 - 49 - 68 - 1.51 - R1,"[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]",17.91,9.96,19.08,17.91,9.96,21.1,"[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]","[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]"
RsT2 - 50 - 66 - 1.35 - R1,"[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]",17.61,12.11,19.08,17.61,12.11,24.52,"[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]","[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]"
RsT2 - 50 - 66 - 1.4 - R1,"[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]",16.98,11.69,19.08,16.98,11.69,24.52,"[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]","[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]"
RsT2 - 50 - 66 - 1.51 - R1,"[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]",15.75,10.84,19.08,15.75,10.84,24.52,"[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]","[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]"
RsT2 - 50 - 67 - 1.35 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]",22.41,14.19,19.08,22.41,14.19,21.23,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]","[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]"
RsT2 - 50 - 67 - 1.4 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]",21.6,13.67,19.08,21.6,13.67,21.23,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]","[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]"
RsT2 - 50 - 67 - 1.51 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]",20.04,12.68,19.08,20.04,12.68,21.23,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]","[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]"
RsT2 - 50 - 68 - 1.35 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]",34.29,25.4,19.08,39.27,14.19,21.23,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]","[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67"", ""40"", ""46"", ""45"", ""44"", ""8"", ""49"", ""7"", ""68""]"
RsT2 - 50 - 68 - 1.4 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]",33.05,24.48,19.08,37.84,13.67,21.23,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]","[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67"", ""40"", ""46"", ""45"", ""44"", ""8"", ""49"", ""7"", ""68""]"
RsT2 - 50 - 68 - 1.51 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]",30.65,22.7,19.08,35.12,12.68,21.23,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]","[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67"", ""40"", ""46"", ""45"", ""44"", ""8"", ""49"", ""7"", ""68""]"
