scenario,path_dijkstra,ete_dijkstra,ete_safe_dijkstra,rst_dijkstra,ete_dijkstra_rst,ete_safe_dijkstra_rst,rst_dijkstra_rst,path_dijkstra,path_dijkstra_rst
RsT2 - 75 - 68 - 1.35 - R1,"[""4"", ""2"", ""47"", ""58"", ""53"", ""69"", ""68""]",15.94,13.9,10.08,15.94,13.9,17.66,"[""4"", ""2"", ""47"", ""58"", ""53"", ""69"", ""68""]","[""4"", ""2"", ""47"", ""58"", ""53"", ""69"", ""68""]"
RsT2 - 75 - 68 - 1.4 - R1,"[""4"", ""2"", ""47"", ""58"", ""53"", ""69"", ""68""]",15.37,13.4,10.08,15.37,13.4,17.66,"[""4"", ""2"", ""47"", ""58"", ""53"", ""69"", ""68""]","[""4"", ""2"", ""47"", ""58"", ""53"", ""69"", ""68""]"
RsT2 - 75 - 68 - 1.51 - R1,"[""4"", ""2"", ""47"", ""58"", ""53"", ""69"", ""68""]",14.25,12.42,10.08,14.25,12.42,17.66,"[""4"", ""2"", ""47"", ""58"", ""53"", ""69"", ""68""]","[""4"", ""2"", ""47"", ""58"", ""53"", ""69"", ""68""]"
RsT2 - 76 - 66 - 1.35 - R1,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67"", ""31"", ""30"", ""11"", ""66""]",27.9,10.35,10.08,27.9,10.35,15.75,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67"", ""31"", ""30"", ""11"", ""66""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67"", ""31"", ""30"", ""11"", ""66""]"
RsT2 - 76 - 66 - 1.4 - R1,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67"", ""31"", ""30"", ""11"", ""66""]",26.9,9.98,10.08,26.9,9.98,15.75,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67"", ""31"", ""30"", ""11"", ""66""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67"", ""31"", ""30"", ""11"", ""66""]"
RsT2 - 76 - 66 - 1.51 - R1,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67"", ""31"", ""30"", ""11"", ""66""]",24.94,9.25,10.08,24.94,9.25,15.75,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67"", ""31"", ""30"", ""11"", ""66""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67"", ""31"", ""30"", ""11"", ""66""]"
RsT2 - 76 - 67 - 1.35 - R1,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]",11.88,10.35,10.08,11.88,10.35,15.75,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]"
RsT2 - 76 - 67 - 1.4 - R1,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]",11.45,9.98,10.08,11.45,9.98,15.75,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]"
RsT2 - 76 - 67 - 1.51 - R1,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]",10.62,9.25,10.08,10.62,9.25,15.75,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""67""]"
RsT2 - 76 - 68 - 1.35 - R1,"[""9"", ""10"", ""50"", ""6"", ""57"", ""70"", ""7"", ""68""]",20.79,17.84,10.08,26.82,10.35,15.75,"[""9"", ""10"", ""50"", ""6"", ""57"", ""70"", ""7"", ""68""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""46"", ""45"", ""44"", ""8"", ""49"", ""7"", ""68""]"
RsT2 - 76 - 68 - 1.4 - R1,"[""9"", ""10"", ""50"", ""6"", ""57"", ""70"", ""7"", ""68""]",20.05,17.2,10.08,25.86,9.98,15.75,"[""9"", ""10"", ""50"", ""6"", ""57"", ""70"", ""7"", ""68""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""46"", ""45"", ""44"", ""8"", ""49"", ""7"", ""68""]"
RsT2 - 76 - 68 - 1.51 - R1,"[""9"", ""10"", ""50"", ""6"", ""57"", ""70"", ""7"", ""68""]",18.59,15.95,10.08,23.98,9.25,15.75,"[""9"", ""10"", ""50"", ""6"", ""57"", ""70"", ""7"", ""68""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""72"", ""40"", ""46"", ""45"", ""44"", ""8"", ""49"", ""7"", ""68""]"
RsT2 - 77 - 66 - 1.35 - R1,"[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66""]",19.14,12.38,10.08,19.14,12.38,16.1,"[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66""]","[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66""]"
RsT2 - 77 - 66 - 1.4 - R1,"[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66""]",18.46,11.94,10.08,18.46,11.94,16.1,"[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66""]","[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66""]"
RsT2 - 77 - 66 - 1.51 - R1,"[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66""]",17.12,11.07,10.08,17.12,11.07,16.1,"[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66""]","[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66""]"
RsT2 - 77 - 67 - 1.35 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""75"", ""33"", ""32"", ""43"", ""31"", ""67""]",22.41,15.21,10.08,35.17,12.38,16.1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""75"", ""33"", ""32"", ""43"", ""31"", ""67""]","[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66"", ""11"", ""30"", ""31"", ""67""]"
RsT2 - 77 - 67 - 1.4 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""75"", ""33"", ""32"", ""43"", ""31"", ""67""]",21.61,14.67,10.08,33.91,11.94,16.1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""75"", ""33"", ""32"", ""43"", ""31"", ""67""]","[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66"", ""11"", ""30"", ""31"", ""67""]"
RsT2 - 77 - 67 - 1.51 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""75"", ""33"", ""32"", ""43"", ""31"", ""67""]",20.03,13.6,10.08,31.44,11.07,16.1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""75"", ""33"", ""32"", ""43"", ""31"", ""67""]","[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66"", ""11"", ""30"", ""31"", ""67""]"
RsT2 - 77 - 68 - 1.35 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""70"", ""7"", ""68""]",35.04,32.09,10.08,44.79,12.38,16.1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""70"", ""7"", ""68""]","[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66"", ""11"", ""30"", ""49"", ""7"", ""68""]"
RsT2 - 77 - 68 - 1.4 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""70"", ""7"", ""68""]",33.79,30.94,10.08,43.19,11.94,16.1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""70"", ""7"", ""68""]","[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66"", ""11"", ""30"", ""49"", ""7"", ""68""]"
RsT2 - 77 - 68 - 1.51 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""70"", ""7"", ""68""]",31.32,28.69,10.08,40.04,11.07,16.1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""70"", ""7"", ""68""]","[""24"", ""25"", ""26"", ""14"", ""77"", ""12"", ""66"", ""11"", ""30"", ""49"", ""7"", ""68""]"
