scenario,path_dijkstra,ete_dijkstra,ete_safe_dijkstra,rst_dijkstra,ete_dijkstra_rst,ete_safe_dijkstra_rst,rst_dijkstra_rst,path_dijkstra,path_dijkstra_rst
RsT2 - 52 - 68 - 1.35 - R1,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]",15.76,11.36,26.84,15.76,11.36,33.12,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]","[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]"
RsT2 - 52 - 68 - 1.4 - R1,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]",15.19,10.95,26.84,15.19,10.95,33.12,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]","[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]"
RsT2 - 52 - 68 - 1.51 - R1,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]",14.09,10.16,26.84,14.09,10.16,33.12,"[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]","[""4"", ""2"", ""47"", ""58"", ""53"", ""68""]"
RsT2 - 53 - 66 - 1.35 - R1,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]",27.06,21.56,26.84,27.06,21.56,31.95,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]","[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]"
RsT2 - 53 - 66 - 1.4 - R1,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]",26.07,20.78,26.84,26.07,20.78,31.95,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]","[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]"
RsT2 - 53 - 66 - 1.51 - R1,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]",24.18,19.27,26.84,24.18,19.27,31.95,"[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]","[""9"", ""10"", ""59"", ""29"", ""27"", ""22"", ""26"", ""14"", ""12"", ""66""]"
RsT2 - 53 - 67 - 1.35 - R1,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",11.88,7.36,26.84,11.88,7.36,30.68,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 53 - 67 - 1.4 - R1,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",11.44,7.09,26.84,11.44,7.09,30.68,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 53 - 67 - 1.51 - R1,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]",10.61,6.58,26.84,10.61,6.58,30.68,"[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]","[""9"", ""10"", ""59"", ""39"", ""42"", ""41"", ""40"", ""67""]"
RsT2 - 53 - 68 - 1.35 - R1,"[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]",20.04,11.15,26.84,20.04,11.15,29.19,"[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]","[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]"
RsT2 - 53 - 68 - 1.4 - R1,"[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]",19.31,10.74,26.84,19.31,10.74,29.19,"[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]","[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]"
RsT2 - 53 - 68 - 1.51 - R1,"[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]",17.91,9.96,26.84,17.91,9.96,29.19,"[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]","[""9"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]"
RsT2 - 54 - 66 - 1.35 - R1,"[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]",17.61,12.11,26.84,17.61,12.11,31.95,"[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]","[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]"
RsT2 - 54 - 66 - 1.4 - R1,"[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]",16.98,11.69,26.84,16.98,11.69,31.95,"[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]","[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]"
RsT2 - 54 - 66 - 1.51 - R1,"[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]",15.75,10.84,26.84,15.75,10.84,31.95,"[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]","[""24"", ""25"", ""26"", ""14"", ""12"", ""66""]"
RsT2 - 54 - 67 - 1.35 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]",22.41,14.19,26.84,22.41,14.19,29.27,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]","[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]"
RsT2 - 54 - 67 - 1.4 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]",21.6,13.67,26.84,21.6,13.67,29.27,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]","[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]"
RsT2 - 54 - 67 - 1.51 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]",20.04,12.68,26.84,20.04,12.68,29.27,"[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]","[""24"", ""23"", ""22"", ""27"", ""29"", ""28"", ""33"", ""32"", ""43"", ""31"", ""67""]"
RsT2 - 54 - 68 - 1.35 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]",34.29,25.4,26.84,34.29,25.4,29.19,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]","[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]"
RsT2 - 54 - 68 - 1.4 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]",33.05,24.48,26.84,33.05,24.48,29.19,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]","[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]"
RsT2 - 54 - 68 - 1.51 - R1,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]",30.65,22.7,26.84,30.65,22.7,29.19,"[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]","[""24"", ""23"", ""22"", ""27"", ""29"", ""59"", ""10"", ""50"", ""6"", ""57"", ""7"", ""68""]"
