{'node_id': '611255504', 'longitude': 100.3608183, 'latitude': -0.9591026, 'status': 'intersection', 'name': nan, 'eta': 40.76408438762117}
{'node_id': '611255506', 'longitude': 100.3606595, 'latitude': -0.9595772, 'status': 'intersection', 'name': nan, 'eta': 40.799347359705074}
{'node_id': '611256887', 'longitude': 100.3578774, 'latitude': -0.9429285, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '611256888', 'longitude': 100.3618833, 'latitude': -0.9426737, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '611262197', 'longitude': 100.3636157, 'latitude': -0.9559754, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '611262198', 'longitude': 100.3631101, 'latitude': -0.9550724, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '611262199', 'longitude': 100.3602191, 'latitude': -0.9546653, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '611262202', 'longitude': 100.3613268, 'latitude': -0.9520301, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '611262204', 'longitude': 100.3611891, 'latitude': -0.9514129, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701738800', 'longitude': 100.345008, 'latitude': -0.905542, 'status': 'intersection', 'name': nan, 'eta': 38.02178015040671}
{'node_id': '701738848', 'longitude': 100.3703786, 'latitude': -0.912014, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701738950', 'longitude': 100.3529182, 'latitude': -0.903296, 'status': 'intersection', 'name': nan, 'eta': 42.982175820371104}
{'node_id': '701738974', 'longitude': 100.3554404, 'latitude': -0.9009169, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701738981', 'longitude': 100.3639095, 'latitude': -0.9118413, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739010', 'longitude': 100.3643728, 'latitude': -0.9116564, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739036', 'longitude': 100.3666445, 'latitude': -0.9107415, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739041', 'longitude': 100.3683159, 'latitude': -0.9101385, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739042', 'longitude': 100.3673351, 'latitude': -0.9104408, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739067', 'longitude': 100.3623818, 'latitude': -0.9054459, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739081', 'longitude': 100.3627597, 'latitude': -0.9052572, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739098', 'longitude': 100.3629741, 'latitude': -0.9054491, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739110', 'longitude': 100.361394, 'latitude': -0.9035449, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739113', 'longitude': 100.3610683, 'latitude': -0.9029479, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739119', 'longitude': 100.3611703, 'latitude': -0.9028868, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739127', 'longitude': 100.3602513, 'latitude': -0.9013208, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739140', 'longitude': 100.3676658, 'latitude': -0.9024297, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739160', 'longitude': 100.357385, 'latitude': -0.8994861, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739161', 'longitude': 100.357733, 'latitude': -0.8992742, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739162', 'longitude': 100.3600271, 'latitude': -0.9009554, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739166', 'longitude': 100.3598055, 'latitude': -0.9005988, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739173', 'longitude': 100.3595952, 'latitude': -0.90021, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739179', 'longitude': 100.3593815, 'latitude': -0.899847, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739188', 'longitude': 100.3591683, 'latitude': -0.8994988, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739189', 'longitude': 100.3589436, 'latitude': -0.8991154, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739198', 'longitude': 100.3596984, 'latitude': -0.8984469, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739200', 'longitude': 100.3599787, 'latitude': -0.8982363, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739204', 'longitude': 100.3587489, 'latitude': -0.8987633, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739209', 'longitude': 100.3660826, 'latitude': -0.901188, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739273', 'longitude': 100.3640536, 'latitude': -0.896003, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739305', 'longitude': 100.3722471, 'latitude': -0.9115532, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739306', 'longitude': 100.3719274, 'latitude': -0.9116422, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739322', 'longitude': 100.374995, 'latitude': -0.9093269, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739334', 'longitude': 100.3721492, 'latitude': -0.9075237, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739340', 'longitude': 100.3715162, 'latitude': -0.9067768, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739344', 'longitude': 100.3722219, 'latitude': -0.9067819, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739349', 'longitude': 100.3718944, 'latitude': -0.9065381, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739403', 'longitude': 100.3785389, 'latitude': -0.9092106, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739412', 'longitude': 100.3774466, 'latitude': -0.9082741, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739416', 'longitude': 100.3782244, 'latitude': -0.9090135, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739430', 'longitude': 100.376719, 'latitude': -0.9068531, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739432', 'longitude': 100.3723914, 'latitude': -0.9060819, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739439', 'longitude': 100.3723334, 'latitude': -0.9052271, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739440', 'longitude': 100.3724656, 'latitude': -0.9052764, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739460', 'longitude': 100.3727623, 'latitude': -0.9054048, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739477', 'longitude': 100.3723326, 'latitude': -0.9049096, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701739507', 'longitude': 100.3751606, 'latitude': -0.9052601, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768156', 'longitude': 100.3636952, 'latitude': -0.9081338, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768161', 'longitude': 100.3636865, 'latitude': -0.9080101, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768178', 'longitude': 100.3636093, 'latitude': -0.906361, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768187', 'longitude': 100.3660753, 'latitude': -0.9075163, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768188', 'longitude': 100.3657997, 'latitude': -0.9075383, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768191', 'longitude': 100.3660097, 'latitude': -0.9080074, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768197', 'longitude': 100.3614174, 'latitude': -0.9059343, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768198', 'longitude': 100.3617718, 'latitude': -0.9063528, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768211', 'longitude': 100.3619378, 'latitude': -0.9056736, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768219', 'longitude': 100.3654975, 'latitude': -0.9056168, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768230', 'longitude': 100.3634911, 'latitude': -0.9039089, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768232', 'longitude': 100.3654173, 'latitude': -0.9045502, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768240', 'longitude': 100.3634176, 'latitude': -0.9023371, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768241', 'longitude': 100.3654682, 'latitude': -0.903053, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768249', 'longitude': 100.3633703, 'latitude': -0.9012736, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768273', 'longitude': 100.3680917, 'latitude': -0.9034439, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768282', 'longitude': 100.3657474, 'latitude': -0.9033809, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768286', 'longitude': 100.363318, 'latitude': -0.9004938, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768289', 'longitude': 100.363305, 'latitude': -0.9001593, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768295', 'longitude': 100.3638461, 'latitude': -0.9001666, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768327', 'longitude': 100.3712834, 'latitude': -0.9047008, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768328', 'longitude': 100.3704114, 'latitude': -0.9044373, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768340', 'longitude': 100.3715853, 'latitude': -0.9035538, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768355', 'longitude': 100.3724751, 'latitude': -0.9019105, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768361', 'longitude': 100.3726467, 'latitude': -0.9015578, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768369', 'longitude': 100.3730464, 'latitude': -0.901175, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768378', 'longitude': 100.3977043, 'latitude': -0.9021759, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768388', 'longitude': 100.4006014, 'latitude': -0.9010689, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768394', 'longitude': 100.4010111, 'latitude': -0.9009677, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768398', 'longitude': 100.4012913, 'latitude': -0.9010647, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768401', 'longitude': 100.4020592, 'latitude': -0.9014774, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768403', 'longitude': 100.402131, 'latitude': -0.9014984, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768432', 'longitude': 100.4068503, 'latitude': -0.9038187, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768439', 'longitude': 100.4079017, 'latitude': -0.90393, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768498', 'longitude': 100.3728137, 'latitude': -0.9005763, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768519', 'longitude': 100.3757323, 'latitude': -0.896875, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768522', 'longitude': 100.3780564, 'latitude': -0.8967902, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768528', 'longitude': 100.3757581, 'latitude': -0.8968565, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768532', 'longitude': 100.3768832, 'latitude': -0.8962552, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768536', 'longitude': 100.3799041, 'latitude': -0.8971053, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768539', 'longitude': 100.3810387, 'latitude': -0.8969611, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768548', 'longitude': 100.3832519, 'latitude': -0.8983749, 'status': 'intersection', 'name': nan, 'eta': nan}
{'node_id': '701768562', 'longitude': 100.3853906, 'latitude': -0.8983501, 'status': 'intersection', 'name': nan, 'eta': nan}
