Processing edge (1588805174 -> 1588805741): alt=7.79, rst=33.23
Processing edge (1587364671 -> 1587364685): alt=8.12, rst=32.45
Processing edge (1587364671 -> 1587365278): alt=7.99, rst=31.70
Processing edge (1610691993 -> 1610692531): alt=7.93, rst=34.67
Processing edge (1588805919 -> 1588805741): alt=7.89, rst=33.23
Processing edge (1588805919 -> 1588807322): alt=9.31, rst=32.89
Processing edge (1610606458 -> 6093221338): alt=9.24, rst=34.95
Processing edge (1610690641 -> 6093221040): alt=8.00, rst=34.90
Processing edge (1610690641 -> 6093221039): alt=9.96, rst=inf
Processing edge (6080271657 -> 6080465146): alt=8.92, rst=31.88
Processing edge (6080271657 -> 6080271660): alt=8.21, rst=31.62
Processing edge (1610604857 -> 1610604855): alt=9.24, rst=33.72
Processing edge (1610604857 -> 1610604862): alt=8.17, rst=33.11
Processing edge (1588805741 -> 1588805702): alt=8.47, rst=33.49
Processing edge (1588805741 -> 1588807242): alt=10.07, rst=32.91
Processing edge (1610692531 -> 6093221039): alt=9.76, rst=inf
Processing edge (1587365278 -> 1587365507): alt=9.06, rst=31.97
Processing edge (1587365278 -> 1587365610): alt=8.29, rst=31.70
Processing edge (1587365278 -> 8339732432): alt=10.50, rst=31.30
Processing edge (6093221040 -> 1610690617): alt=8.13, rst=34.99
Processing edge (6093221040 -> 13893791674): alt=10.30, rst=34.93
Processing edge (12241371824 -> 1438785980): alt=9.65, rst=31.54
Processing edge (12241371824 -> 6080271660): alt=8.47, rst=31.62
Processing edge (1587364685 -> 1587365507): alt=9.17, rst=31.97
Processing edge (1587364685 -> 1587364710): alt=8.89, rst=32.52
Processing edge (1610690617 -> 6093218337): alt=8.85, rst=35.31
Processing edge (1610690617 -> 1610691032): alt=9.22, rst=35.09
Processing edge (1610604862 -> 1610604789): alt=9.19, rst=33.16
Processing edge (1610604862 -> 1610604866): alt=9.62, rst=32.56
Processing edge (6080271660 -> 6080271652): alt=10.11, rst=31.73
Processing edge (1587365610 -> 1587365607): alt=12.17, rst=32.81
Processing edge (1587365610 -> 1587365863): alt=9.15, rst=31.86
Processing edge (1588805702 -> 1605653980): alt=9.32, rst=33.80
Processing edge (1588805702 -> 1588807162): alt=10.68, rst=inf
Processing edge (1638253342 -> 1438785975): alt=9.41, rst=32.34
Processing edge (1638253342 -> 1638253112): alt=9.84, rst=32.60
Processing edge (6093218337 -> 6093220129): alt=9.82, rst=36.12
Processing edge (6093218337 -> 10698584472): alt=10.97, rst=35.31
Processing edge (1587364710 -> 1588807855): alt=9.70, rst=32.80
Processing edge (1587364710 -> 1587365536): alt=9.90, rst=32.23
Processing edge (1438796521 -> 1438796517): alt=10.31, rst=31.25
Processing edge (6080465146 -> 6080465145): alt=9.36, rst=31.97
Processing edge (6080465146 -> 6106845873): alt=10.54, rst=32.01
Processing edge (1587365507 -> 1587365536): alt=9.87, rst=32.23
Processing edge (1587365863 -> 1575904416): alt=11.03, rst=31.84
Processing edge (1587365863 -> 1605632745): alt=12.01, rst=32.52
Processing edge (1610604789 -> 6079948357): alt=9.95, rst=33.38
