longitude,latitude
100.35452295229524,-0.9740099009901027
100.35444794479449,-0.9739348934893548
100.35429792979299,-0.9737098709871054
100.35414791479148,-0.9734848484848413
100.35407290729071,-0.9734098409840949
100.35399789978996,-0.9733348334833499
100.35392289228923,-0.9732598259826071
100.35384788478848,-0.9731848184818496
100.35377287728772,-0.9731098109810948
100.35369786978698,-0.9730348034803438
100.35362286228624,-0.972959795979596
100.35354785478548,-0.9728847884788524
100.35339783978398,-0.9727347734773449
100.35332283228324,-0.9726597659765988
100.35324782478249,-0.9724347434743452
100.35317281728172,-0.9722097209720955
100.35294779477948,-0.9718346834683531
100.35287278727871,-0.9717596759675913
100.35279777977796,-0.9716846684668548
100.35272277227725,-0.9716096609660939
100.35264776477649,-0.9715346534653423
100.35257275727572,-0.9714596459646009
100.35249774977498,-0.9713096309630957
100.35242274227424,-0.9711596159615923
100.35242274227424,-0.971084608460851
100.35242274227424,-0.9710096009600947
100.35242274227424,-0.9709345934593411
100.35242274227424,-0.9708595859585891
100.35242274227424,-0.9707845784578397
100.35242274227424,-0.970709570957092
100.35242274227424,-0.970634563456347
100.35242274227424,-0.9705595559556037
100.35242274227424,-0.9704845484548458
100.35242274227424,-0.9704095409540903
100.35242274227424,-0.9703345334533534
100.35242274227424,-0.9702595259526022
100.35167266726674,-0.9693594359435997
100.35159765976597,-0.9689843984398507
100.35152265226525,-0.968759375937594
100.35084758475848,-0.968159315931585
100.35002250225024,-0.9681593159315894
100.34987248724872,-0.9682343234323384
100.34964746474648,-0.9683093309330908
100.34942244224422,-0.96838433843384
100.34927242724272,-0.9684593459345988
100.34897239723972,-0.9685343534353472
100.34874737473748,-0.9686093609360992
100.34852235223522,-0.9686843684368508
100.34829732973296,-0.9687593759375978
100.34807230723072,-0.968834383438338
100.34792229222924,-0.9689093909391013
100.34784728472847,-0.9689093909391007
100.34777227722772,-0.9689093909390949
100.34769726972698,-0.9689093909391003
100.34762226222622,-0.9689093909391003
100.34754725472548,-0.9687593759375879
100.34754725472548,-0.9686843684368458
100.34754725472548,-0.9686093609360891
100.34762226222622,-0.9684593459346007
100.34769726972698,-0.9683093309330971
100.34777227722772,-0.968159315931596
100.34747224722472,-0.9670342034203407
100.34739723972396,-0.966959195919593
100.34732223222322,-0.9668841884188478
100.34724722472248,-0.9667341734173415
